name,industry
POTATO S R O,CONSUMER STAPLES
"AFP - CZ, spol. s r.o.",ENERGY
BD Spanielova 1327-1329,REAL ESTATE
Group Loukota Melzer,INDUSTRIALS
"Charis Property, s.r.o.",REAL ESTATE
EXVER FOOD S R O,CONSUMER STAPLES
"SV Nerudova 257/6, Novy Jicin",REAL ESTATE
PWO CZECH REPUBLIC A S,INDUSTRIALS
JSF SLUZBY S R O,UTILITIES
"KIEKERT-CS, S.R.O.",NOT RELEVANT
TGS NASTROJE STROJE TECHNOLOGICKE S,INDUSTRIALS
MENCL DAVID,NOT RELEVANT
BD Jirska 13,REAL ESTATE
Group Soural Marcel,INDUSTRIALS
THEIN DIGITAL S.R.O.,INFORMATION TECHNOLOGY
"SVJ Brezinova 3647/14, Jihlava",REAL ESTATE
BALTIC GROUND SERVICES CZ S R O,INDUSTRIALS
Group CTP,REAL ESTATE
"SV Na vyslunni 559, Bor",REAL ESTATE
COMTES FHT A S,INDUSTRIALS
SBD Venkov,REAL ESTATE
NOVIBRA BOSKOVICE S R O,INDUSTRIALS
AB ARCO SPOL S R O,INDUSTRIALS
KOMPRS TOMAS,NOT RELEVANT
RNA INFRA S R O,FINANCIALS
SVJ O. Jeremiase 6003/51,REAL ESTATE
KOLTEX COLOR S R O,MATERIALS
SVJ Valecnych zajatcu 1641,REAL ESTATE
"PEGA HOIST, s.r.o.",INDUSTRIALS
SUBGROUP FINSHAPE CZECHIA CONSOLIDA,INFORMATION TECHNOLOGY
SV Provaznicka 741,REAL ESTATE
RADIO UNITED BROADCASTING S R O,CONSUMER DISCRETIONARY
DRFG TELCO S R O,COMMUNICATIONS
BD Balcarkova,REAL ESTATE
"SUPPORT EXTRA, A.S.",HEALTH CARE
INCOT SPOL S R O,CONSUMER DISCRETIONARY
Elektro - viola s.r.o.,CONSUMER DISCRETIONARY
ZACH PETR,NOT RELEVANT
TK DEVELOPMENT CZECH II S R O,NOT RELEVANT
"AUREDNIK CS, SPOL. S R.O.",NOT RELEVANT
CEMM THOME CZ SPOL.S R.O.,NOT RELEVANT
POSK S.R.O.,MATERIALS
JIRMAN PAVEL,NOT RELEVANT
VIDOX S R O,CONSUMER DISCRETIONARY
ZAHRADNICTVI LITOL S R O,CONSUMER STAPLES
CALIBRA MC S R O,CONSUMER DISCRETIONARY
Group Lagarde Martin,INDUSTRIALS
Rawlplug CZ s.r.o.,INDUSTRIALS
C BECHSTEIN EUROPE S R O,CONSUMER DISCRETIONARY
MATRIX A S,MATERIALS
LIKOV S R O,INDUSTRIALS
"STAR TRANSPORT, s.r.o.",INDUSTRIALS
HEXPOL Compounding Lesina s.r.,MATERIALS
AQUASPED s.r.o.,INDUSTRIALS
K R PROJEKT S R O,CONSUMER STAPLES
"SV Haskova 6, Opava",REAL ESTATE
SVJ Sidliste 516,REAL ESTATE
VALOVA MAGDALENA,NOT RELEVANT
KRUBERT S.R.O.,MATERIALS
IGEFA-ROIN s.r.o.,CONSUMER DISCRETIONARY
"ProCredia, a.s.",INDUSTRIALS
SVJ Pustimerske Prusy 242,REAL ESTATE
ConvaTec Ceska republika s.r.o.,HEALTH CARE
"SVJ K.H.Machy 1127, 1128, 1129",REAL ESTATE
SUBGROUP PPF TMT HOLDCO 2 CONSOLIDA,COMMUNICATIONS
PRVNI NARODNI DRUZSTVO,REAL ESTATE
ERA PRO A S,NOT RELEVANT
W A G PAYMENT SOLUTIONS A S,INDUSTRIALS
NEXTBIKE CZECH REPUBLIC S R O,CONSUMER DISCRETIONARY
ERDING A S,UTILITIES
"NAABBAU, SPOL. S R.O.",REAL ESTATE
ABARETIA HOLDINGS LIMITED,FINANCIALS
G4A Invest s.r.o.,CONSUMER STAPLES
KLIMA S R O,INDUSTRIALS
NOLATINO S R O,REAL ESTATE
JIHOMESTSKA SOCIALNI A S,HEALTH CARE
SVJ Na Kamencoch 1332,REAL ESTATE
SLEVARNA KURIM A S,MATERIALS
JANKOSTAV S R O,INDUSTRIALS
"Z + M SERVIS, SPOL. S R.O.",INDUSTRIALS
RASKA ZDENEK,NOT RELEVANT
"Dr. Max BDC, s.r.o.",CONSUMER STAPLES
KUS A.S.,NOT RELEVANT
KOVALCIK MARTIN,NOT RELEVANT
ZDENEK VAVRA,NOT RELEVANT
SISTEK KAREL,NOT RELEVANT
FRESH & TASTY BY ZÁTISÍ S.R.O.,CONSUMER DISCRETIONARY
CKD BLANSKO OS A S,INDUSTRIALS
"SV domu 235, Frydek-Mistek",REAL ESTATE
MARK DISTRI SPOL S R O,CONSUMER DISCRETIONARY
TYPOS TISKARSKE ZAVODY S R O,INDUSTRIALS
INELSEV s.r.o.,INDUSTRIALS
ALT X DISTRIBUTION a.s.,INDUSTRIALS
JE FINANCING S R O,INDUSTRIALS
MONFORTE S R O,REAL ESTATE
ADVANTAGE CARS S R O,CONSUMER DISCRETIONARY
Synlab Czech s.r.o.,HEALTH CARE
"SV Voskovcova 931-933,Praha 5",REAL ESTATE
Group DOPLA,MATERIALS
"SVJ Tovarni cp. 390, Kryry",REAL ESTATE
"SV pro dum cp. 559, V.Bityska",REAL ESTATE
BD Brezinova 523/25,REAL ESTATE
FENCL JAROSLAV,NOT RELEVANT
FCC REGIOS A S,INDUSTRIALS
SV Haskova 663 Karvina-Raj,REAL ESTATE
SV 420 ve Frenstate p.R.,REAL ESTATE
"SV Cajkovskeho 42,44, Sumperk",REAL ESTATE
KOVOSROT GROUP CZ A S,INDUSTRIALS
"ZEMAKO, s.r.o",INDUSTRIALS
"SVJ K Terezovu 2638,2639",REAL ESTATE
SVJ Bezrucova 1772-1773,REAL ESTATE
MIBA S R O,COMMUNICATIONS
PIMA S R O,REAL ESTATE
PALETPLASTIK S R O,MATERIALS
AUMED A S,HEALTH CARE
ZLINSKE STAVBY A S,INDUSTRIALS
SVJ Kratka 607,REAL ESTATE
GRANSON S R O,INDUSTRIALS
SV Sponarova 10,REAL ESTATE
KONIGFRANKSTAHL S R O,INDUSTRIALS
INCINITY S R O,INFORMATION TECHNOLOGY
VSACKO HOVEZI A S,CONSUMER STAPLES
